scenario,symbol,side,signalTime,entryTime,exitTime,entryPrice,exitPrice,entryFill,exitFill,shockReturn,shockZ,quoteVolumeMultiple,takerImbalance,directionalWick,grossPriceReturn,priceReturnAfterSlippage,fees,fundingReturn,netReturn
base,BTCUSDT,1,1705097099999,1705097100000,1705100700000,42529.9,42672.5,42534.15299,42668.23275,-0.019378429711600004,-5.310275983611828,10.750384559367081,-0.33851305113648666,0.46628834700528154,0.00335293522909752,0.003152284707103936,0.001,0,0.002152284707103936
base,BNBUSDT,-1,1707325799999,1707325800000,1707329400000,306.82,306.59,306.789318,306.620659,0.008214068927933634,4.6900020484207845,35.64378974505889,0.27588621523820533,0.42666666666668285,0.0007496251874063997,0.0005497551254375344,0.001,0,-0.00045024487456246567
base,BNBUSDT,-1,1707835199999,1707835200000,1707838800000,321.87,323.02,321.837813,323.052302,0.007578510908758894,4.3744301300033595,9.75487108230478,0.33918187906681285,0.2988047808764951,-0.0035728710348899018,-0.003773605682561687,0.001,0,-0.004773605682561687
base,DOGEUSDT,-1,1707941399999,1707941400000,1707945000000,0.0867,0.08636,0.08669133,0.086368636,0.009734692704675654,4.682790429137192,3.1767510739024294,0.3569981436227203,0.3636363636363789,0.0039215686274508554,0.0037223330176154867,0.001,0,0.0027223330176154867
base,BNBUSDT,-1,1707957599999,1707957600000,1707961200000,336.94,334.88,336.90630600000003,334.913488,0.007866079532005044,4.653868671129555,12.225501578952782,0.2624077976103458,0.35836177474403036,0.006113848162877633,0.005915051052799436,0.001,0,0.004915051052799436
base,DOGEUSDT,1,1708361999999,1708362000000,1708365600000,0.08722,0.08863,0.08722872200000001,0.088621137,-0.014003758191173802,-5.755587104167646,5.981529811443749,-0.315780794818562,0.34615384615385025,0.016166016968585106,0.015962804086479654,0.001,0,0.014962804086479653
base,DOGEUSDT,1,1708442999999,1708443000000,1708446600000,0.08387,0.0849,0.083878387,0.08489151,-0.019949903217884733,-7.320210245528106,7.994716901073154,-0.2529172487045941,0.5582655826558264,0.012280910933587741,0.012078474994994925,0.001,-0.00012405,0.010954424994994924
base,LINKUSDT,1,1708442999999,1708443000000,1708446600000,18.709,18.999,18.7108709,18.997100099999997,-0.02460525396948678,-6.889961805097964,12.86641781833156,-0.3307982053196582,0.4825708061002198,0.01550056122721677,0.01529748142295162,0.001,-0.00018125,0.014116231422951618
base,SOLUSDT,1,1708442999999,1708443000000,1708446600000,104.947,107.375,104.9574947,107.3642625,-0.020005854803722207,-5.510985484540082,12.05714725028736,-0.3178401690112346,0.5130625686059275,0.0231354874365155,0.022930880799691966,0.001,-0.00031742,0.021613460799691966
base,LINKUSDT,1,1709141699999,1709141700000,1709145300000,18.849,18.879,18.8508849,18.8771121,-0.06713792490426669,-18.427872543809304,17.160374453222442,-0.2679885007588555,0.5078420767982693,0.0015915963711603531,0.001391298081715009,0.001,0,0.0003912980817150089
base,BNBUSDT,1,1709246399999,1709246400000,1709250000000,393,400.82,393.03929999999997,400.779918,-0.0140487946210288,-4.420522429513126,4.574789468917739,-0.2535980264657418,0.34251290877797047,0.01989821882951648,0.01969425958167559,0.001,0,0.018694259581675587
base,BNBUSDT,1,1709655299999,1709655300000,1709658900000,408.74,403.97,408.780874,403.92960300000004,-0.018230807949715346,-5.878074535832329,12.755912482960376,-0.26177406201367803,0.5021645021645033,-0.011670010275480647,-0.011867656508802171,0.001,0,-0.012867656508802172
base,LINKUSDT,1,1709668799999,1709668800000,1709672400000,17.748,17.97,17.7497748,17.968203,-0.07676484893393039,-16.15413622641922,19.536279145235937,-0.28101206701612547,0.6474953617810757,0.012508451656524588,0.012305970214337547,0.001,0,0.011305970214337546
base,BNBUSDT,1,1711950599999,1711950600000,1711954200000,579.64,585.25,579.697964,585.191475,-0.01852632755907339,-4.335838412264074,29.19843968665189,-0.2922356234970743,0.27623318385650647,0.009678421088951783,0.009476505596283324,0.001,0,0.008476505596283324
base,BTCUSDT,1,1712025599999,1712025600000,1712029200000,66447.1,66887.5,66453.74471,66880.81125,-0.03780152961163211,-11.709715484464967,27.75368150772628,-0.2512966888178766,0.31862745098039214,0.006627828754001142,0.0064265233187941195,0.001,0,0.0054265233187941195
base,ETHUSDT,1,1712261999999,1712262000000,1712265600000,3291.36,3329.36,3291.689136,3329.0270640000003,-0.015552750590595663,-4.7680560706235005,7.6571099791629536,-0.2587977380497446,0.49569583931133,0.011545379417626789,0.01134309057062799,0.001,0,0.010343090570627989
base,BTCUSDT,1,1712294399999,1712294400000,1712298000000,66870,66809,66876.687,66802.31910000001,-0.012995811160308656,-4.621849321993672,7.703922504615118,-0.2842021858661743,0.27849254241146587,-0.0009122177359054406,-0.0011120153126006338,0.001,0,-0.002112015312600634
base,ETHUSDT,1,1712942999999,1712943000000,1712946600000,3317.94,3306.35,3318.271794,3306.019365,-0.030104042257181666,-9.545964402490638,27.98671804731827,-0.2703769722875712,0.5035417518049295,-0.003493131280252193,-0.003692412725851635,0.001,0,-0.004692412725851635
base,LTCUSDT,1,1712942999999,1712943000000,1712946600000,88.65,88.57,88.658865,88.56114299999999,-0.061532655323620206,-12.141659456306245,28.81021458597548,-0.3098646625830622,0.45443925233644855,-0.000902425267907625,-0.0011022248029006754,0.001,0,-0.0021022248029006754
base,SOLUSDT,1,1712942999999,1712943000000,1712946600000,162.017,160.423,162.0332017,160.4069577,-0.024216886758801584,-5.713013475570818,19.174010453594196,-0.2783042270211654,0.5402736878572669,-0.009838473740409914,-0.010036486244411558,0.001,0,-0.011036486244411559
base,SOLUSDT,1,1712946899999,1712946900000,1712950500000,150.722,152.884,150.7370722,152.86871159999998,-0.07278215804984452,-17.001744433590396,30.09000429984596,-0.30192303110385543,0.3315563555801711,0.014344289486604378,0.014141440913564285,0.001,0,0.013141440913564284
base,XRPUSDT,1,1712946899999,1712946900000,1712950500000,0.5401,0.5333,0.5401540100000001,0.53324667,-0.05597502437190166,-15.366415958200996,30.742810131873423,-0.30330264284990205,0.4442344045368618,-0.012590261062766173,-0.012787723264333528,0.001,0,-0.013787723264333529
base,DOGEUSDT,1,1713038999999,1713039000000,1713042600000,0.13444,0.13943,0.134453444,0.139416057,-0.11833657855150191,-17.47592309973913,16.29668442283415,-0.25395111861557196,0.37834902244750124,0.03711692948527223,0.03690952683963977,0.001,0,0.03590952683963977
base,ETHUSDT,1,1713038999999,1713039000000,1713042600000,2866.38,2925.22,2866.666638,2924.9274779999996,-0.07020621073897326,-19.684458451241383,25.23739983095609,-0.3051027148576313,0.2624136211441196,0.020527634158764574,0.020323549040444533,0.001,0,0.019323549040444532
